sc_r,sc_eps,oc_r,oc_eps,D_11,D_11H,D_14,SE_T11,SE_T11H,SE_T14,BM_T11,BM_T11H,BM_T14
4.3,0.1,3.85,0.16,2.220571598002497,2.2760179026217227,2.1084976654182275,616.4781155205676,92.51444417279116,569.5742428385396,60.50781322632551,46.36426008111852,32.20651246437488
4.4,0.16,3.583333333333333,0.0933333333333333,2.4120551560549317,2.482585018726592,2.3217076404494383,629.5801095113393,319.9708298630533,500.5091474444684,66.49398193755843,48.45634080735001,33.117823931180745
4.4,0.16,3.716666666666667,0.1266666666666666,2.3100206741573035,2.3715975905118603,2.1961577028714108,677.9280191025777,321.1080942681614,592.1609466505222,65.08638016182124,47.276872346907325,34.4547749500314
4.4,0.16,3.85,0.16,2.217115131086142,2.270191548064919,2.0960435580524344,634.0165368561292,187.5114771417899,583.4188211057725,62.30842665215414,41.742276217824525,30.929109485364677
4.6,0.28,3.183333333333333,0.0200666666666666,2.684671810237204,2.770613033707865,2.532146691635456,398.4504668887084,223.71314266344663,539.8095513592352,67.08850734893153,52.87298380858353,53.25191872615318
4.6,0.28,3.316666666666667,0.0400333333333333,2.5907364419475654,2.590566604244694,2.429483370786517,524.4155894225205,317.19513368784874,446.2734152109977,66.60053457418377,53.62888955246419,42.38738149020139
4.7,0.34,3.183333333333333,0.0200666666666666,2.6449654057428216,2.727072484394507,2.4982007990012485,574.8294312463596,242.87824935332324,575.2560485450628,70.00211655789305,38.57308787632647,51.6728901435249
4.7,0.34,3.316666666666667,0.0400333333333333,2.559426529338328,2.6330919350811484,2.383083033707865,558.2892350142005,292.7809334589988,564.2955654509587,69.42817627354121,49.35280573069191,45.86414752102701
4.8,0.4,3.183333333333333,0.0200666666666666,2.604219438202247,2.571354918851436,2.461838414481897,592.5983013006697,293.6945371310254,606.040078773661,66.38561928070982,40.77313947152094,41.61399859532786
4.8,0.4,3.316666666666667,0.0400333333333333,2.5212833957553062,2.5609055056179777,2.3527471036204743,599.5337655052617,301.4370839663439,566.5081640242784,63.014144942474005,46.93615078534479,46.48013559161119
4.544017104338829,0.1837346572801993,3.6581306056301024,0.1522562385887176,2.301252334581773,2.3583150686641696,2.190142347066167,698.8664275653127,324.0993274569684,617.7077641186426,65.6177933643142,49.40921317410602,34.9083268225019
4.553424270719841,0.3256122652781864,3.7805894923290304,0.1405356794644367,2.2533069787765294,2.302626654182272,2.1331788639201,700.8107662528315,205.80367749020184,660.7641721706254,65.8870436635715,52.49996253280127,34.58149400661365
4.488699498305926,0.3015215634002146,3.751599287587919,0.0215619354528144,2.5213376903870164,2.5338551310861424,2.433894843945069,549.8610652895389,295.28833713841885,588.4752020203208,66.77548117751255,51.08634730312992,29.676377298802866
4.772592289927677,0.294096717903036,3.5696940634085044,0.1120716126969039,2.3429136329588016,2.370219850187266,2.234175131086142,693.3020753357085,323.0505558907626,647.3503653070836,66.84354228144066,45.254123004426425,32.049366312426216
4.374897479995657,0.3341191515321607,3.156918221632616,0.057065942377849,2.643601073657927,2.7510409113607994,2.482954144818976,492.56734488172026,247.2682676074292,391.0598088552961,70.95488018655632,56.991527869330994,38.77887822043873
4.783425251906325,0.2602048300793555,3.6156045023333223,0.0389713084652432,2.4527965792759048,2.420649712858926,2.273236966292135,597.136635616545,320.5946605690786,610.559723126435,67.53097193727612,47.76022468178171,36.34830527980801
4.226967468197057,0.0791396619475277,3.367913372094077,0.0581334872965499,2.5925753308364548,2.7021456803995005,2.4844915355805246,483.3725568061736,219.35710051236052,403.6903949849111,66.08185047515441,47.06651698937965,41.82683174166967
4.210088897222818,0.1734736333762267,3.2848305677292178,0.1009899076247159,2.545981373283396,2.580792896379526,2.485428589263421,546.7112134551004,203.7403048599708,367.520570415446,63.98410648615122,49.25288746294402,44.951347594313305
4.505659168797134,0.3813542414388808,3.342620453477149,0.0914226672177904,2.4918552309612982,2.4983899500624216,2.416405930087391,621.148465685392,246.2878370455539,548.3984881428244,67.54430011398372,50.81002607681288,41.893251267974776
4.306565825275454,0.2255637788182889,3.445611862203779,0.0800698221929402,2.4988329712858928,2.555471672908864,2.4250119600499374,582.1354662549995,276.9107401451139,486.48373733132615,67.25474488216298,48.85563174864703,46.54147486587717
4.335313480660086,0.1444649375909922,3.451558898199649,0.0626899495112877,2.531081223470662,2.620911622971286,2.4596211360799,542.9707644016819,301.53715819952754,486.60928300779824,68.28191915548007,46.69553637480337,34.425182565482096
