# Time-averaged data for fix msd_out
# TimeStep c_msd_poly[1] c_msd_poly[2] c_msd_poly[3] c_msd_poly[4]
5524000 27.1812 31.0659 55.7844 114.031
5525000 27.2974 30.7836 54.9766 113.058
5526000 26.903 30.5423 54.377 111.822
5527000 27.8807 28.9077 55.8115 112.6
5528000 28.8214 29.2043 54.6463 112.672
5529000 29.3658 29.3243 55.2238 113.914
5530000 28.6945 29.9979 54.3078 113
5531000 28.3881 30.3085 54.7794 113.476
5532000 28.0542 30.4572 56.6655 115.177
5533000 28.8241 29.902 54.732 113.458
5534000 28.9475 29.7024 53.514 112.164
5535000 27.8535 31.7366 55.8869 115.477
5536000 26.4485 32.7079 54.8886 114.045
5537000 27.3346 31.8355 55.3801 114.55
5538000 27.824 31.5653 55.9984 115.388
5539000 27.8272 32.2703 56.3643 116.462
5540000 28.0101 33.0185 57.1359 118.165
5541000 27.6261 35.2963 58.7001 121.623
5542000 28.2139 36.7658 57.6018 122.582
5543000 28.4362 36.3596 58.9668 123.763
5544000 28.5454 34.3998 57.3746 120.32
5545000 28.943 33.0747 54.9398 116.958
5546000 31.2637 32.8417 55.9833 120.089
5547000 32.9375 33.246 55.5105 121.694
5548000 32.9153 33.8706 54.2465 121.033
5549000 34.3696 34.5706 56.0599 125
5550000 34.1118 35.7469 58.0782 127.937
5551000 34.4938 35.5268 61.0522 131.073
5552000 34.2789 33.9378 60.8505 129.067
5553000 34.2662 33.0852 58.4999 125.851
5554000 34.052 33.085 57.84 124.977
5555000 33.6802 33.0571 58.4099 125.147
5556000 32.4945 32.5191 58.2559 123.27
5557000 33.1398 32.8537 56.1576 122.151
5558000 31.9949 33.0227 56.3594 121.377
5559000 31.2848 31.387 56.4915 119.163
5560000 30.544 30.4011 56.4241 117.369
5561000 30.1865 29.7171 53.7964 113.7
5562000 29.4792 30.3125 52.116 111.908
5563000 29.6657 30.5686 54.1963 114.431
5564000 28.6605 30.7862 54.7618 114.208
5565000 28.371 31.7366 54.8178 114.925
5566000 29.3825 30.4863 52.6285 112.497
5567000 29.8504 30.6755 53.3573 113.883
5568000 31.0547 29.5394 53.635 114.229
5569000 30.6283 29.694 53.9089 114.231
5570000 30.9982 30.8636 52.1845 114.046
5571000 31.1721 30.3936 50.4862 112.052
5572000 30.7689 31.1027 51.1699 113.041
5573000 31.0469 31.3131 52.3991 114.759
5574000 32.1932 30.6838 53.7753 116.652
5575000 32.2688 30.0782 55.083 117.43
5576000 31.3405 30.9861 55.8427 118.169
5577000 32.5118 31.6061 54.0648 118.183
5578000 32.591 31.1004 54.8965 118.588
5579000 33.652 30.7828 55.1479 119.583
5580000 32.8071 31.5006 57.3987 121.706
5581000 31.4607 32.0206 57.5589 121.04
5582000 30.0622 31.3385 57.3061 118.707
5583000 29.64 31.3929 56.3013 117.334
5584000 29.3031 30.9644 55.7588 116.026
5585000 29.209 30.71 55.3988 115.318
5586000 29.261 31.3646 56.1825 116.808
5587000 29.4774 32.3582 58.5683 120.404
5588000 31.1807 32.1094 57.1288 120.419
5589000 30.6321 30.8136 55.4511 116.897
5590000 29.6374 30.5792 54.2954 114.512
