# Time-averaged data for fix eint_out
# TimeStep c_eint_total c_eint_water c_eint_pair
5409000 -2775.61 -4670.04 -1095.1
5410000 -2775.31 -4665.64 -1096.2
5411000 -2791.02 -4656.31 -1090.18
5412000 -2797.63 -4658.43 -1097.95
5413000 -2815.84 -4653.25 -1107.31
5414000 -2828.45 -4645.57 -1112.27
5415000 -2809.31 -4618.08 -1116.63
5416000 -2817.17 -4678.65 -1114.54
5417000 -2797.67 -4720.09 -1115.62
5418000 -2783.73 -4726.22 -1119.31
5419000 -2804.06 -4701.81 -1123.4
5420000 -2844.38 -4611.82 -1119.12
5421000 -2879.02 -4576.45 -1129.96
5422000 -2869.01 -4564.27 -1132.42
5423000 -2869.72 -4556.35 -1135.45
5424000 -2850.8 -4551.41 -1132.53
5425000 -2861.09 -4589.93 -1142.4
5426000 -2894.2 -4584.75 -1158.89
5427000 -2926.83 -4536.12 -1172.75
5428000 -2904.37 -4537.66 -1147.34
5429000 -2890.59 -4588.59 -1137.42
5430000 -2866.51 -4586.25 -1148.57
5431000 -2845.03 -4636.73 -1131.7
5432000 -2835.53 -4640.73 -1120.1
5433000 -2855.53 -4615.62 -1129.12
5434000 -2883.05 -4587.77 -1143.22
5435000 -2860.69 -4705.75 -1138.13
5436000 -2851.48 -4682.39 -1125.3
5437000 -2873.7 -4603.62 -1131.18
5438000 -2860.68 -4653.73 -1125.44
5439000 -2843.3 -4683.98 -1108.5
5440000 -2889.34 -4704.96 -1124.73
5441000 -2884.42 -4705.98 -1133.23
5442000 -2920.54 -4722.74 -1147.61
5443000 -2906.52 -4711 -1142.99
5444000 -2887.24 -4787.54 -1121.66
5445000 -2920.87 -4740.65 -1135.48
5446000 -2881.39 -4755.18 -1134.49
5447000 -2917.91 -4686.56 -1141.94
5448000 -2924.75 -4722.88 -1144.93
5449000 -2893.61 -4674.26 -1134.6
5450000 -2881.95 -4676.35 -1134.02
5451000 -2886.08 -4662.59 -1144.92
5452000 -2905.92 -4676.96 -1164.16
5453000 -2924.71 -4634.41 -1157.66
5454000 -2912.74 -4654.21 -1133.77
5455000 -2889.19 -4739.05 -1135.52
5456000 -2918.6 -4674.7 -1155.85
5457000 -2927.32 -4642.44 -1164.99
5458000 -2881 -4700.09 -1130.14
5459000 -2863.26 -4623.04 -1126.66
5460000 -2752.41 -4670.03 -1076.66
5461000 -2776.37 -4701.58 -1077.76
5462000 -2776 -4744.28 -1088.84
5463000 -2762.11 -4821.67 -1083.72
5464000 -2771.03 -4846.25 -1090.74
5465000 -2765.93 -4804.42 -1088.74
5466000 -2797.44 -4746.59 -1101.54
5467000 -2797.08 -4758.93 -1098.42
5468000 -2819.94 -4701.28 -1108.26
5469000 -2800.89 -4730.87 -1097.95
5470000 -2756.02 -4737.73 -1083.62
5471000 -2796.39 -4664.78 -1106.65
5472000 -2780.25 -4662.92 -1108.71
5473000 -2760.68 -4738.16 -1094
5474000 -2766.72 -4815.09 -1089.5
5475000 -2807.64 -4710.34 -1112.52
5476000 -2779.87 -4767.88 -1121.34
5477000 -2812.65 -4725.46 -1138.14
5478000 -2832.56 -4655.7 -1144.2
5479000 -2823.29 -4665.72 -1144.25
5480000 -2820.45 -4704.99 -1140.63
5481000 -2861.36 -4692.45 -1134.19
5482000 -2816.9 -4686.95 -1118.83
5483000 -2820.66 -4730.29 -1115.43
5484000 -2815.42 -4761.17 -1102.76
5485000 -2807.81 -4843.67 -1102.12
5486000 -2792.73 -4865.63 -1093.69
5487000 -2816.69 -4880.12 -1090.46
5488000 -2875.41 -4775.07 -1120.87
5489000 -2808.9 -4868.21 -1094.58
5490000 -2828.35 -4804.1 -1100.68
5491000 -2827.36 -4755.55 -1095.07
5492000 -2854.9 -4781.17 -1123.16
5493000 -2843.64 -4755.64 -1101.13
